id;visible;mainpage;order;date;title_it;title_en;title_fr;categories;articleUrl;video_type;video_id;video_src;thumbnail_url;thumbnail_fallbackGradient;allegati;testo_it;testo_en;testo_fr
italiano-siria-zahraa-e-nubl-villaggi-simbolo-dello-scontro-sunniti-sciiti;true;;1;2015-02-25;Siria, Zahraa e Nubl villaggi simbolo dello scontro sunniti-sciiti;Siria, Zahraa e Nubl villaggi simbolo dello scontro sunniti-sciiti;Siria, Zahraa e Nubl villaggi simbolo dello scontro sunniti-sciiti;conflict-zones;http://www.nawartpress.com/?p=283;;;;http://nena-news.globalist.it/QFC/NEWS_72914.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
english-theatre-and-revolution-artshub;true;;2;2015-02-28;Theatre and revolution - ArtsHub;Theatre and revolution - ArtsHub;Theatre and revolution - ArtsHub;longform-reportage;http://www.artshub.co.uk/news-article/features/public-policy/theatre-of-the-revolution-197246;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
sinai-deserto-e-affari-left;true;;3;2015-02-28;Sinai, deserto e affari - Left;Sinai, deserto e affari - Left;Sinai, deserto e affari - Left;longform-reportage;http://www.nawartpress.com/?p=365;;;;http://www.nawartpress.com/wp-content/uploads/2015/02/image03.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
english-for-young-israelis-the-other-side-simply-does-not-exist-middle-east-eye;true;;4;2015-03-01;For young Israelis, the other side ‘simply does not exist’ - Middle East Eye;For young Israelis, the other side ‘simply does not exist’ - Middle East Eye;For young Israelis, the other side ‘simply does not exist’ - Middle East Eye;longform-reportage;http://www.nawartpress.com/?p=678;;;;http://www.middleeasteye.net/sites/default/files/styles/main_image_article_page/public/Gi.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
holot-il-ghetto-nero-nigrizia;true;;5;2015-03-01;Holot, il ghetto nero - Nigrizia;Holot, il ghetto nero - Nigrizia;Holot, il ghetto nero - Nigrizia;longform-reportage;http://www.nawartpress.com/?p=681;;;;http://www.nawartpress.com/wp-content/uploads/2015/03/10363320_10152884029353850_7252323587889770204_n.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
perche-la-turchia-lascia-che-lis-avanzi-su-kobane-pagina99;true;;6;2015-03-01;Perché la Turchia lascia che l'IS avanzi su Kobane - Pagina99;Perché la Turchia lascia che l'IS avanzi su Kobane - Pagina99;Perché la Turchia lascia che l'IS avanzi su Kobane - Pagina99;conflict-zones;http://www.nawartpress.com/?p=693;;;;http://www.pagina99.it/upload/1412420830796.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
la-guerra-siriana-vista-dal-golan-sempre-piu-vicino-a-israele-europa;true;;7;2015-03-01;La guerra siriana vista dal Golan, sempre più vicino a Israele - Europa;La guerra siriana vista dal Golan, sempre più vicino a Israele - Europa;La guerra siriana vista dal Golan, sempre più vicino a Israele - Europa;longform-reportage;http://www.europaquotidiano.it/2014/09/30/la-guerra-siriana-vista-dal-golan-sempre-piu-vicino-a-israele/;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
in-egitto-si-celebrano-le-finte-elezioni-il-caffe;true;;8;2015-03-01;In Egitto si celebrano le finte elezioni - Il Caffè;In Egitto si celebrano le finte elezioni - Il Caffè;In Egitto si celebrano le finte elezioni - Il Caffè;longform-reportage;http://www.caffe.ch/stories/cronaca/47077_in_egitto_si_celebrano_le_finte_elezioni/;;;;http://new.caffe.ch/media/2014/05/22494_3_medium.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
le-donne-del-cairo-in-piazza-contro-gli-stupri-pagina-99;true;;9;2015-03-01;Le donne del Cairo in piazza contro gli stupri - Pagina 99;Le donne del Cairo in piazza contro gli stupri - Pagina 99;Le donne del Cairo in piazza contro gli stupri - Pagina 99;longform-reportage;http://www.nawartpress.com/?p=636;;;;http://www.pagina99.it/upload/1402829299104.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
giornata-nazionale-contro-le-mutilazioni-genitali-femminili-in-egitto-donne-e-bambine-raccontano-il-loro-dolore-video-inchiesta-huffington-post;true;;10;2015-03-01;Giornata nazionale contro le mutilazioni genitali femminili: in Egitto donne e bambine raccontano il loro dolore (VIDEO INCHIESTA) - Huffington Post;Giornata nazionale contro le mutilazioni genitali femminili: in Egitto donne e bambine raccontano il loro dolore (VIDEO INCHIESTA) - Huffington Post;Giornata nazionale contro le mutilazioni genitali femminili: in Egitto donne e bambine raccontano il loro dolore (VIDEO INCHIESTA) - Huffington Post;longform-reportage;http://www.huffingtonpost.it/2015/02/06/mgf-mutuilazioni-video-egitto_n_6628904.html;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;
